,KnDia,MfImportePropuesta
0,1,3632.76
1,2,6656.76
2,3,19950.84
3,4,45704.0
4,5,1919339.5
5,6,1046938.21
6,7,186384.16
7,8,2163516.3899999997
8,9,67150.23999999999
9,10,124038.19
10,11,34800.0
11,12,730134.8500000001
12,13,7180018.83
13,14,2923254.52
14,15,130368.43000000001
15,16,96558.57
16,17,2816490.4000000004
17,18,281763.24
18,19,10088180.1
19,20,10705023.46
20,21,601213.4299999999
21,22,1406523.65
22,23,867480.25
23,24,3065345.5399999996
24,25,27573624.869999997
25,26,110826.54000000001
26,27,9468158.429999998
27,28,3236696.1799999997
28,29,3527947.600000001
29,30,96074267.0799999
30,31,15388361.610000003
31,32,37815511.940000035
32,33,2439683.5799999996
33,34,6597231.51
34,35,77466752.73999995
35,36,26085349.580000002
36,37,42624878.46999998
37,38,21411143.650000002
38,39,9113062.040000001
39,40,75675693.73999995
40,41,30714246.489999995
41,42,63707443.93000002
42,43,9199314.399999999
43,44,6806285.889999999
44,45,85037731.57000004
45,46,18343358.339999996
46,47,109307042.86999995
47,48,67904881.12999997
48,49,81129862.16000004
49,50,16712778.619999995
50,51,55910672.58999989
51,52,16892841.979999997
52,53,13629740.73
53,54,69167390.68000005
54,55,8598258.939999998
55,56,44878958.12999996
56,57,29729929.319999993
57,58,9446218.250000002
58,59,33038444.930000007
59,60,10539133.049999995
60,61,72160797.98999998
61,62,11584788.91999999
62,63,6936656.999999999
63,64,107147919.7899999
64,65,13688142.440000003
65,66,51874986.72000003
66,67,13260346.9
67,68,14671018.13
68,69,96365180.28999992
69,70,9227954.779999997
70,71,58003274.50999987
71,72,14823908.049999995
72,73,18712625.07
73,74,78697824.16999996
74,75,15220392.429999992
75,76,41667778.239999965
76,77,18294376.16000001
77,78,22940177.019999996
78,79,70806679.44999999
79,80,49669555.94
80,81,47718357.93000002
81,82,18067007.860000007
82,83,60563819.269999966
83,84,21641281.069999993
84,85,5031452.62
85,86,115719004.47000001
86,87,11775343.009999998
87,88,111142960.76999986
88,89,73804923.22
89,90,8104262.0200000005
90,91,74847675.77999985
91,92,4964688.809999997
92,93,101722176.47999996
93,94,18839163.64999999
94,95,16504759.559999995
95,96,99772520.20000002
96,97,34852016.389999986
97,98,73618905.43999995
98,99,33185746.649999987
99,100,6693724.020000002
100,101,70067882.55000003
101,102,27550243.250000004
102,103,73774742.72999999
103,104,11361331.340000004
104,105,4458507.019999999
105,106,90569757.56
106,107,20990093.609999992
107,108,67324525.80999996
108,109,18235274.669999994
109,110,11195740.350000001
110,111,189850440.24000013
111,112,28436351.290000003
112,113,47661263.60999998
113,114,16965147.660000004
114,115,16526385.209999999
115,116,87864928.03999995
116,117,79055369.65
117,118,22235006.529999994
118,119,21208827.710000005
119,120,80355474.25000043
120,121,44885219.310000025
121,122,70453831.16000015
122,123,50454656.24999995
123,124,25663086.57
124,125,80630093.64000005
125,126,5124469.080000001
126,127,27837782.040000007
127,128,9717513.510000002
128,129,3061748.56
129,130,64725797.35999999
130,131,51606231.93999998
131,132,49583919.27999992
132,133,36253991.95999999
133,134,12963251.01
134,135,114784530.74999993
135,136,14871153.799999999
136,137,43539961.559999995
137,138,19877123.779999997
138,139,10582922.439999988
139,140,62801937.82999997
140,141,19590410.749999996
141,142,54516096.55000002
142,143,3663975.9999999995
143,144,7535434.309999998
144,145,57263785.67999996
145,146,11118118.299999995
146,147,53323329.65999999
147,148,8748787.300000003
148,149,2705774.190000001
149,150,45372173.40999995
150,151,6201046.63
151,152,43523174.99
152,153,62967291.640000015
153,154,116151703.21999986
154,155,114678654.22999994
155,156,21526412.93
156,157,53126546.140000045
157,158,17762880.82
158,159,28528500.379999988
159,160,92620863.67
160,161,20798580.729999997
161,162,39149908.77999997
162,163,32503150.299999997
163,164,13003312.189999998
164,165,83339932.6
165,166,20950356.740000002
166,167,59943927.88999998
167,168,15683743.919999996
168,169,14311351.589999998
169,170,82491796.33999993
170,171,12507641.859999994
171,172,30406575.719999995
172,173,14750413.519999998
173,174,16048766.419999992
174,175,112405987.66
175,176,12776283.529999996
176,177,33347668.529999994
177,178,56055187.52000003
178,179,16438321.239999998
179,180,189851553.9800001
180,181,15485490.599999996
181,182,57158747.519999966
182,183,22679018.34
183,184,18604203.35000001
184,185,85601634.85999994
185,186,14943655.58
186,187,41585735.70999999
187,188,31714095.26999999
188,189,17042869.5
189,190,78684570.90999992
190,191,16693245.79
191,192,62652188.129999995
192,193,15946332.919999996
193,194,13324894.239999998
194,195,93830975.64000005
195,196,10451679.099999996
196,197,37798014.12000001
197,198,13090110.919999992
198,199,19045763.419999994
199,200,68041159.81000002
200,201,15911960.690000003
201,202,33205499.18
202,203,24377219.53000002
203,204,22826786.63999998
204,205,92798678.86999995
205,206,29606552.580000013
206,207,43282583.29999999
207,208,38695694.10000002
208,209,61036293.83
209,210,17004476.19000001
210,211,79307774.63000007
211,212,18350404.300000004
212,213,22274893.739999987
213,214,79814639.18000002
214,215,7776403.5200000005
215,216,29332102.29000002
216,217,7021875.640000002
217,218,27687204.770000033
218,219,76828501.41999999
219,220,31160052.909999993
220,221,44252102.27000006
221,222,16013586.920000002
222,223,21607808.399999987
223,224,110135725.4399998
224,225,14636031.810000004
225,226,47322498.98999996
226,227,29231836.270000014
227,228,45961679.69
228,229,84961581.91999999
229,230,6853537.839999998
230,231,42021039.879999995
231,232,23851803.16999999
232,233,16961495.11
233,234,102501281.42999998
234,235,18703257.679999992
235,236,98345049.4
236,237,97310801.51000002
237,238,16692913.910000008
238,239,96732571.33999997
239,240,19990916.369999982
240,241,25693599.81000002
241,242,25796979.459999997
242,243,87306967.45000003
243,244,22772355.69000001
244,245,36538595.41
245,246,10764803.680000005
246,247,30940820.500000026
247,248,123404143.82999995
248,249,19914035.540000003
249,250,157978742.58
250,251,30053241.6
251,252,91828545.3099999
252,253,13446635.910000006
253,254,49654042.96999997
254,255,102593798.28999999
255,256,51139971.37999997
256,257,77787560.35999994
257,258,13933320.55000001
258,259,35458587.160000004
259,260,9166161.899999999
260,261,17118841.909999993
261,262,90720679.0399998
262,263,20957536.01
263,264,74737971.83999994
264,265,14944239.519999996
265,266,158029165.67999995
266,267,20383487.610000003
267,268,88584332.22000003
268,269,27752585.909999996
269,270,59442970.48999996
270,271,92457446.86999987
271,272,219003052.36999992
272,273,193991607.64000013
273,274,70694689.97000003
274,275,93836077.48000002
275,276,46884346.34000003
276,277,7308135.540000001
277,278,14145842.85
278,279,3163849.6800000006
279,280,16120449.83999999
280,281,143374980.56000006
281,282,15598678.18
282,283,31843396.969999995
283,284,10263048.950000007
284,285,19987763.810000002
285,286,187620544.08000022
286,287,9727272.290000005
287,288,37254940.410000004
288,289,25275032.7
289,290,32431090.850000005
290,291,107140210.5400001
291,292,15537447.749999993
292,293,39766662.38000002
293,294,20096778.979999993
294,295,20290343.990000002
295,296,117753972.22000001
296,297,30492584.21
297,298,11667361.500000002
298,299,18153578.200000007
299,300,26991214.589999992
300,301,105300402.11000006
301,302,40000963.059999995
302,303,150232853.05000004
303,304,28226782.82999999
304,305,124204379.6199999
305,306,33244866.479999986
306,307,30030146.960000005
307,308,26339156.609999992
308,309,106422985.57000005
309,310,58588215.679999985
310,311,28826332.240000002
311,312,94037470.64
312,313,7810685.700000001
313,314,14281191.250000013
314,315,96877130.05999996
315,316,25574808.360000014
316,317,56462145.08000001
317,318,24075920.389999997
318,319,32667424.590000015
319,320,88725491.88999991
320,321,21255705.969999995
321,322,25888487.149999984
322,323,30701560.149999984
323,324,22492072.220000036
324,325,140556184.23000014
325,326,23942684.86
326,327,35691637.94000001
327,328,21708709.339999974
328,329,36863810.67000003
329,330,84937051.91999997
330,331,24799376.500000004
331,332,153604960.8099999
332,333,13482911.900000006
333,334,109081599.76000002
334,335,20199144.039999988
335,336,51176959.52000001
336,337,18044385.83
337,338,18180082.350000024
338,339,75228498.00999993
339,340,12955446.929999998
340,341,48146220.62999998
341,342,42384472.459999986
342,343,27512970.210000012
343,344,95947465.41999999
344,345,31878781.199999984
345,346,37412770.789999984
346,347,16466191.700000001
347,348,28713181.110000014
348,349,195684509.25000036
349,350,26944198.53000001
350,351,23646401.760000013
351,352,107669099.88000004
352,353,22313839.269999996
353,354,22341139.679999977
354,355,7253884.029999998
355,356,39466006.849999994
356,357,74649083.22000003
357,358,44882962.68000001
358,359,50902503.73000004
359,360,11035532.48
360,361,90176670.53000002
361,362,29082161.750000004
362,363,22216642.209999997
363,364,26521034.71999998
364,365,34980185.070000015
365,366,211315706.55000034
366,367,39350752.470000006
367,368,16703706.07
368,369,30773437.619999986
369,370,77009361.10999995
370,371,18923654.259999994
371,372,42547020.34999997
372,373,14474070.679999998
373,374,66230929.61
374,375,77044183.80000009
375,376,34215679.46
376,377,58643217.70999998
377,378,24972903.200000003
378,379,14768933.329999994
379,380,176095689.59000003
380,381,22364872.910000004
381,382,33198443.739999995
382,383,45681826.760000005
383,384,34790506.46000004
384,385,103575942.14
385,386,11849914.69
386,387,38255215.39999998
387,388,44412555.05999999
388,389,22435874.769999996
389,390,80734794.1599999
390,391,17934285.440000005
391,392,31382317.199999984
392,393,488715258.14
393,394,22461226.050000004
394,395,77437472.64000005
395,396,19387534.42999999
396,397,57020618.16999999
397,398,14746139.219999997
398,399,30559663.959999993
399,400,105770911.91
400,401,19711546.949999988
401,402,30496700.46999999
402,403,22152918.28
403,404,29700288.049999982
404,405,93637138.07999983
405,406,26826499.429999996
406,407,53437458.11
407,408,2457814.6200000006
408,409,36899749.909999974
409,410,212044091.3600002
410,411,4159844.400000001
411,412,33333299.390000008
412,413,38854705.269999996
413,414,16300424.919999998
414,415,162898258.66000015
415,416,3853129.800000001
416,417,34184770.02999999
417,418,6374864.500000001
418,419,5482502.530000002
419,420,134754013.32999974
420,421,5140466.790000002
421,422,35330011.42000001
422,423,5607881.85
423,424,16527287.319999997
424,425,129228981.72999986
425,426,8376021.570000003
426,427,23492671.139999993
427,428,16625946.41
428,429,10163024.540000005
429,430,150675266.93000045
430,431,2686487.8900000006
431,432,42321743.96000002
432,433,2669220.7600000002
433,434,8796998.109999998
434,435,164181253.11000022
435,436,5085742.380000001
436,437,35852684.169999965
437,438,2626742.6700000004
438,439,7044035.32
439,440,104863347.34000008
440,441,4008481.909999999
441,442,58696025.849999994
442,443,2162677.9699999965
443,444,3807826.5299999993
444,445,46268259.17000001
445,446,7404444.200000001
446,447,29871727.25
447,448,10633191.400000002
448,449,421684.3399999999
449,450,176168877.94000015
450,451,30996734.440000016
451,452,42656094.58000002
452,453,8477010.98
453,454,2918733.559999999
454,455,107155104.9799999
455,456,1020609.6000000002
456,457,65730766.68000002
457,458,9186230.760000002
458,459,8461846.799999999
459,460,112364163.96000008
460,461,730273.4299999999
461,462,30699725.48
462,463,5413805.35
463,464,5818491.430000002
464,465,136057630.36999986
465,466,5201958.169999997
466,467,50424052.00999998
467,468,36099583.980000004
468,469,11297766.61
469,470,142876107.21000046
470,471,3583061.149999999
471,472,51032948.830000035
472,473,19900482.549999993
473,474,241225.93000000005
474,475,283662074.94000036
475,476,10833556.170000006
476,477,48219750.18000008
477,478,5059335.0699999975
478,479,106819293.99000004
479,480,125724008.02
480,481,1729515.3199999994
481,482,25887891.550000004
482,483,505613.23000000004
483,484,2759477.2700000005
484,485,117740913.35999998
485,486,1420478.8999999997
486,487,69866508.21000005
487,488,694307.0100000001
488,489,7728802.340000001
489,490,130586074.90999976
490,491,11202564.879999997
491,492,14069404.38000001
492,493,6186438.9799999995
493,494,132212918.58999999
494,495,3723145.06
495,496,34695934.99999997
496,497,11092819.810000002
497,498,6167700.0299999975
498,499,154324538.32999995
499,500,17443702.059999995
500,501,40574569.45999997
501,502,1812104.18
502,503,141225165.09000018
503,504,9653957.259999998
504,505,62068702.66
505,506,3410281.2299999986
506,507,7191496.6
507,508,139597497.09999987
508,509,9604965.930000003
509,510,54449645.36000005
510,511,2660743.9299999997
511,512,7773031.400000002
512,513,150548752.7699999
513,514,8660388.189999994
514,515,60085578.38999999
515,516,6495471.989999998
516,517,7703416.550000002
517,518,5983479.869999998
518,519,223250916.21999985
519,520,14630867.849999998
520,521,9106862.930000003
521,522,114724666.17999993
522,523,10526315.720000004
523,524,96152515.76000004
524,525,3275845.24
525,526,132118082.0700001
526,527,23728301.57
527,528,81332772.43999998
528,529,2946149.3399999985
529,530,67130326.19999996
530,531,7133006.580000002
531,532,105607738.05999993
532,533,170789.11999999997
